Laser power (W),Scanning speed (mm/s),Hatch spacing (mm),Relative density ,,
250,520,0.12,99.91,,
250,620,0.12,99.89,,
250,720,0.12,99.98,,
250,820,0.12,99.86,,
250,920,0.12,99.74,,
300,520,0.12,99.76,,
300,620,0.12,99.92,,
300,720,0.12,99.89,,
300,820,0.12,99.93,,
300,920,0.12,99.94,,
350,520,0.12,99.63,,
350,620,0.12,99.92,,
350,720,0.12,99.97,,
350,820,0.12,99.99,,
350,920,0.12,99.99,,
100,700,0.12,97.9,,
150,700,0.12,98.7,,
200,700,0.12,98.8,,
250,700,0.12,98.9,,
300,700,0.12,99.8,,
350,700,0.12,99.5,,
400,700,0.12,99.25,,
300,400,0.12,98.4,,
300,500,0.12,98.6,,
300,600,0.12,98.4,,
300,700,0.12,99.8,,
300,800,0.12,99.2,,
300,900,0.12,99,,
300,1000,0.12,99,,
250,800,0.07,99.37,,
350,800,0.07,98.58,,
250,1200,0.07,98.63,,
350,1200,0.07,98.68,,
250,800,0.13,98.26,,
350,800,0.13,98.79,,
250,1200,0.13,96.9,,
350,1200,0.13,98.2,,
215.91,1000,0.1,98.2,,
384.09,1000,0.1,98.83,,
300,663.64,0.1,99.21,,
300,1336.36,0.1,98.25,,
300,1000,0.05,99.09,,
300,1000,0.15,97.81,,
300,1000,0.1,99.22,,
300,1000,0.1,99.14,,
300,1000,0.1,99.26,,
300,1000,0.1,99.26,,
300,1000,0.1,99.33,,
300,1000,0.1,99.28,,
335,810,0.13,99.48,,
235,1110,0.13,97.96,,
335,810,0.09,99.59,,
285,960,0.11,99.63,,
235,1110,0.09,99.54,,
235,1110,0.09,99.33,,
235,810,0.09,99.48,,
335,1110,0.13,99.26,,
335,1110,0.13,99.31,,
335,810,0.09,99.45,,
235,1110,0.13,98.06,,
335,810,0.09,99.72,,
285,960,0.11,99.38,,
235,1110,0.09,99.65,,
235,1110,0.09,99.26,,
235,810,0.09,99.37,,
235,1110,0.13,99.16,,
335,1110,0.13,99.14,,
250,1302,0.12,97.5,,
275,1432,0.12,96.5,,
300,1563,0.12,96,,
325,1693,0.12,95.5,,
350,1823,0.12,89.5,,
250,1042,0.12,98.5,,
275,1146,0.12,98.2,,
300,1250,0.12,97.5,,
325,1354,0.12,97.2,,
350,1458,0.12,96.5,,
250,868,0.12,98.8,,
275,955,0.12,99.2,,
300,1042,0.12,99.5,,
325,1128,0.12,99,,
350,1215,0.12,98.2,,
250,744,0.12,99,,
275,818,0.12,99.3,,
300,893,0.12,99.8,,
325,967,0.12,99.1,,
350,1042,0.12,98.7,,
250,651,0.12,99.2,,
275,716,0.12,99.4,,
300,781,0.12,99.9,,
325,846,0.12,99.3,,
350,911,0.12,99,,
80,900,0.09,97.5,,
80,800,0.08,98.6,,
80,700,0.07,98.36,,
80,600,0.06,98.72,,
90,900,0.08,98.92,,
90,800,0.09,98.76,,
90,700,0.06,98.52,,
90,1000,0.07,98.91,,
100,900,0.07,98.63,,
100,800,0.09,98.71,,
100,700,0.06,98.76,,
100,1000,0.08,98.9,,
110,900,0.07,98.59,,
110,800,0.09,98.56,,
110,700,0.08,98.43,,
110,1000,0.09,98.53,,
